code,confirm_status,creation_by,creation_time,eng_name,product_id,is_active,is_delete,last_modification_by,last_modification_time,name,name_ascii,note,question,reason,ref_code,short_name,type,upc_code,upc_id,industry_code,industry_name,replace_product,tenant_code,d
1353,Approved,,21:32.3,,18223,TRUE,FALSE,,42:56.9,BLUEMINT 500MG PHIL 12X5,BLUEMINT 500MG PHIL 12X5,,,,A121600001353,BLUEMINT 500 PHIL 12X5,Normal,7.82848E+11,18223,3,THUỐC,,,3/1/2025
1.35E+03,Approved,,21:32.6,,18224,TRUE,FALSE,,37:32.4,BLUEPINE 5MG BLUE 6X10,BLUEPINE 5MG BLUE 6X10,,,,A121600001354,BLUEPINE 5 BLUE 6X10,Normal,7.82848E+11,18224,3,THUỐC,"['00000726' '00000719' '00016054' '00000672' '00004549' '00010018'
 '00021054' '00007780' '00021216' '00009745' '00006887' '00012431'
 '00020692' '00000725' '00000671' '00006883' '00014459' '00003656'
 '00001594' '00007778' '00000627' '00002474' '00000727' '00004522'
 '00000723' '00000675' '00020353' '00000720' '00000721' '00000716'
 '00005371' '00004917' '00000758' '00015154' '00000718' '00011351'
 '00011026']",,3/1/2025
1355,Rejected,,03:08.9,,22670,FALSE,FALSE,,41:13.7,BLUETINE 20MG BLUEPHARMA 6X10,,,,Từ chối duyệt,A121600001355,BLUETINE 20MG BLUEPHARMA 6X10,Normal,7.82848E+11,22670,3,THUỐC,,,3/1/2025
1359,Approved,,48:58.4,,21887,TRUE,FALSE,,16:22.7,BỔ KHÍ THÔNG HUYẾT BVP 3X10,BỔ KHÍ THÔNG HUYẾT BVP 3X10,,,,A121600001359,BỔ KHÍ THÔNG HUYẾT BVP 3X10,Normal,7.82848E+11,21887,3,THUỐC,,,3/1/2025
1362,Approved,,03:10.5,,22674,FALSE,FALSE,,08:50.6,BỔ THẬN ÂM,,,,,B121600001362,BỔ THẬN ÂM mã dư,Normal,7.82848E+11,22674,7,TPCN,,,3/1/2025
1363,Approved,,59:39.4,,14701,FALSE,FALSE,,34:00.0,BỔ THẬN ÂM NHẤT NHẤT 2X10,,,,,B121600001363,BỔ THẬN ÂM NHẤT NHẤT 2X10,Normal,7.82848E+11,14701,7,TPCN,,,3/1/2025
1369,Approved,,03:12.3,,22676,FALSE,FALSE,,03:12.3,BỔ TỲ PH 100ML,,,,,E121600001369,BỔ TỲ PH 100ML,Normal,7.82848E+11,22676,15,HÀNG TIÊU DÙNG NHANH,,,3/1/2025
1370,Approved,,21:33.0,,18225,FALSE,FALSE,,03:58.0,BOAKYE DAVI 6X10,,,,,A121600001370,BOAKYE DAVI 6X10,Normal,7.82848E+11,18225,3,THUỐC,"['00014915' '00007167' '00003973' '00005210' '00003621' '00003532'
 '00001642' '00021377' '00003561' '00003348' '00021774' '00015330'
 '00029520' '00013667' '00013930' '00006648' '00022376' '00003341'
 '00016355' '00007083']",,3/1/2025
1374,Approved,,48:17.6,,21786,TRUE,FALSE,,37:32.4,BOGANIC FORTE TRAPHACO 5X10,BOGANIC FORTE TRAPHACO 5X10,,,,A121600001374,BOGANIC FORTE 5X10,Normal,7.82848E+11,21786,3,THUỐC,,,3/1/2025
1376,Approved,,03:14.0,,22678,FALSE,FALSE,,03:14.0,BOGANIC VIÊN NÉN 20 VIÊN,,,,,Z121600001376,BOGANIC VIÊN NÉN 20 VIÊN,Normal,7.82848E+11,22678,11,KHÁC,,,3/1/2025
1379,Approved,,59:41.6,,14705,FALSE,FALSE,,08:27.6,BOM-VITAL,,,,,A121600001379,BOM-VITAL,Normal,7.82848E+11,14705,3,THUỐC,,,3/1/2025
1382,Approved,,03:15.4,,22682,FALSE,FALSE,,03:15.4,BONE-CARE,,,,,A121600001382,BONE-CARE,Normal,7.82848E+11,22682,3,THUỐC,,,3/1/2025
1383,Approved,,03:15.5,,22683,FALSE,FALSE,,06:01.3,BONEFOS 400MG BAYER 10X10,,,,,A121600001383,BONEFOS 400 BAYER 10X10,Normal,7.82848E+11,22683,3,THUỐC,,,3/1/2025
1384,Approved,,03:15.7,,22684,FALSE,FALSE,,03:15.7,BONEKEY,,,,,Z121600001384,BONEKEY,Normal,7.82848E+11,22684,11,KHÁC,,,3/1/2025
1386,Approved,,03:16.0,,22686,FALSE,FALSE,,03:16.0,BONFORTE,,,,,A121600001386,BONFORTE,Normal,7.82848E+11,22686,3,THUỐC,,,3/1/2025
1387,Approved,,03:16.2,,22687,FALSE,FALSE,,03:16.2,BÔNG RÁY TAI FALEE 170 CÂY,,,,,Z121600001387,BÔNG RÁY TAI FALEE 170 CÂY,Normal,7.82848E+11,22687,11,KHÁC,,,3/1/2025
1390,Approved,,03:16.6,,22690,FALSE,FALSE,,21:26.9,BÔNG RÁY TAI THỊNH PHÁT NGƯỜI LỚN,,,,,D121600001390,BÔNG RÁY TAI THỊNH PHÁT NGƯỜI LỚN,Normal,7.82848E+11,22690,4,TRANG THIẾT BỊ Y TẾ,,,3/1/2025
1392,Approved,,03:17.2,,22691,FALSE,FALSE,,03:17.2,BÔNG TẨY TRANG HÀN QUỐC,,,,,A121600001392,BÔNG TẨY TRANG HÀN QUỐC,Normal,7.82848E+11,22691,3,THUỐC,,,3/1/2025
1.39E+03,Approved,,57:43.2,,14391,FALSE,FALSE,,34:00.0,BONI HAIR 60V,,,,,B121600001394,BONI HAIR 60V,Normal,7.82848E+11,14391,7,TPCN,,,3/1/2025
1395,Approved,,50:43.8,,22139,TRUE,FALSE,,48:32.4,BONI HAPPY 60V,BONI HAPPY 60V,,,,B121600001395,BONI HAPPY 60V,Normal,7.82848E+11,22139,7,TPCN,,,3/1/2025
1397,Approved,,03:18.5,,22692,FALSE,FALSE,,08:53.9,BONIOXY 60V,,,,,A121600001397,TRÙNG MÃ,Normal,7.82848E+11,22692,3,THUỐC,,,3/1/2025
1399,Approved,,03:19.1,,22693,FALSE,FALSE,,03:19.1,BONICAL,,,,,Z121600001399,BONICAL,Normal,7.82848E+11,22693,11,KHÁC,,,3/1/2025
1403,Approved,,21:33.3,,18226,TRUE,FALSE,,30:28.3,BONLUTIN 4X15,BONLUTIN 4X15,,,,A121600001403,BONLUTIN 4X15,Normal,7.82848E+11,18226,3,THUỐC,,,3/1/2025
1404,Approved,,21:33.7,,18227,FALSE,FALSE,,20:40.7,BONMAX 60MG CADILA 10X7,,,,,A121600001404,BONMAX 60 CADILA 10X7,Normal,7.82848E+11,18227,3,THUỐC,,,3/1/2025
1405,Approved,,21:34.0,,18228,TRUE,FALSE,,44:50.5,BONSARTINE 25MG SQUARE 5X10,BONSARTINE 25MG SQUARE 5X10,,,,A121600001405,BONSARTINE 25 5X10,Normal,7.82848E+11,18228,3,THUỐC,,,3/1/2025
1408,Approved,,03:22.1,,22696,FALSE,FALSE,,03:22.1,BORIVAMPI 20MG,,,,,A121600001408,BORIVAMPI 20MG,Normal,7.82848E+11,22696,3,THUỐC,,,3/1/2025
1410,Approved,,21:34.8,,18231,FALSE,FALSE,,50:51.7,BOSFLON 450MG BOSTON 4X15,BOSFLON 450MG BOSTON 4X15,,,,A121600001410,BOSFLON 450 BOSTON 4X15,Normal,7.82848E+11,18231,3,THUỐC,,,3/1/2025
1413,Approved,,21:35.8,,18234,TRUE,FALSE,,37:32.4,BOSTANEX BOSTON 60ML,BOSTANEX BOSTON 60ML,,,,A121600001413,BOSTANEX BOSTON 60ML,Normal,7.82848E+11,18234,3,THUỐC,['00016731' '00020734' '00014969' '00008450'],,3/1/2025
