regimen_detail_id,regimen_id,vaccine_id,from_age,to_age,age_unit_code,age_unit,from_age_number,to_age_number,schedule_type,required_injections,max_injections,unit,regimen_detail_note,dosage,nearest_injection_distance,max_distance,min_distance,is_pregnant_regimen,is_required,note,created_at,modified_at,etl_date,etl_by,record_checksum,primary_checksum
44fc15b7-ce0a-4005-9948-5519c1a8ebfe,3f29f38d-f6c2-4049-8674-e04085266d87,6cbc7463-9db7-40c2-91dc-1478d50b9773,7 tu?i,< 10 tu?i,3,Age,7,10,T? 7 - d??i 10 tu?i - tiêm nh?c,1,NaN,ml,None,0.5,0,0,0,FALSE,TRUE,None,12/9/2023,4/24/2025,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,bf0c998946911336b8940441246dad65,d1e4292c798dcca16640179725613876
4640c299-0554-4cdd-bc30-293d1ef5553f,b9d9042b-3268-476d-bf91-609b126f482c,d08dac23-e318-4e7e-8dec-95db9cd06290,12 tháng tu?i,<7 tu?i,2,Month,12,84,?ã tiêm s?i ??n - T? 1 - d??i 7 tu?i,2,2,ml,None,0.5,0,0,0,FALSE,TRUE,None,2/2/2026,2/2/2026,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,c46962b8f9c2a9eb338cb8e1b1d36a75,3f218344b44d66acb9aecd6721cd0eba
46ae1ea1-6228-4299-b6a1-46f0ad1ec44d,d0f44912-8a19-47ab-8200-4258d97e7e8c,0eabd09e-baae-46f5-93e8-a8894d3e2bfb,,< 20,3,Age,0,1000,T? d??i 20 tu?i tr? xu?ng - Nhanh,4,NaN,ml,,0.5,NaN,360,358,FALSE,TRUE,None,4/11/2025,NaT,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,e8cdedcfe99f1ba80ecbb66a4a344c91,122b0b0af60a0ff8654a4279d2855d97
46c33fd4-fc8f-42c2-acad-cdc9d276956f,21dca72d-a8fc-4e35-94f9-b3e1c883d6cf,6c6438c6-d253-47ae-ab0b-f0bcca3ad323,6 tu?n,24 tháng tu?i,1,Week,6,105,Tiêm m?i 3 sau 1 tu?i,4,4,ml,None,0.5,30,30,28,FALSE,TRUE,None,12/9/2023,4/24/2025,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,9e946d3f3749d10691e4845d4042e254,1b5780fbe5e82f073e7e4d2cc01f7a77
4747bab1-5222-465e-8114-571a9ba515db,60037e3c-7a9b-45e6-970d-d82f5ae26e3a,f389375a-9c42-4eae-9c89-17929d656630,9 tu?i,< 14 tu?i,3,Age,9,14,Tiêm d? P? n?i khác - T? 9 - d??i 14 tu?i,2,2,ml,None,0.5,NaN,180,178,FALSE,TRUE,None,2/27/2025,2/27/2025,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,ac8410d95e4f42fa6cef9f2748d13bde,8f3f2cf85335004ab53f94602b2176de
4759a201-2db0-45a4-973e-332ed340c080,f5b16f24-afe6-4f30-a879-83c670d56515,c07b5616-0b15-457e-b33d-2d39098fd81e,,10 tu?i,1,Week,0,522,T? 10 tu?i tr? xu?ng - Nguy c? cao,4,NaN,ml,None,0.5,30,30,28,FALSE,TRUE,None,8/17/2023,12/9/2023,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,d9b4108134931bb96a1900354c7ef969,b68f10eaf9880fcfb52c9d632926f4ff
4852c2b4-e8c0-48a3-81c1-842bbbca0373,83e828b8-0063-4b23-af74-9cadf1861e0c,d2185439-42f0-4734-be8c-4e0c122bc48a,10 tu?i,None,3,Age,10,1000,T? 10 tu?i tr? lên - ch?a tiêm,3,NaN,ml,None,0.5,NaN,180,178,FALSE,TRUE,None,12/9/2023,4/24/2025,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,4d4ee0ac982c7ce124120d9c5a243cd4,3397325377bd806c3ee8bf110928aa6c
4961f64d-f5ae-40b9-9b86-5c97559e248d,1c34b556-8395-4479-9a1e-c09c416f7c9d,c831fd22-a28b-4976-a61c-d2d646d948ab,36 tháng tu?i,,3,Age,3,1000,Trên 3 tu?i,3,NaN,ml,None,1,NaN,12,12,FALSE,TRUE,None,8/17/2023,12/9/2023,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,62c0626cd4ffc16fbe9aa15c8160f0a9,57af97dfc4b6890543eef8f247760bb6
496416a4-7249-48ce-9b37-d28fbb2f696c,9ef81fcc-4d02-4354-9d44-11515c81e70c,f812def4-8e9f-404e-9ecc-8509113ad10d,4 tu?i,6 tu?i,3,Age,4,6,Tiêm nh?c m?i th? 5,1,1,ml,None,0.5,NaN,1800,1798,FALSE,TRUE,None,12/9/2023,4/24/2025,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,e9ee19406fca41fb72242614a5947873,f789d037678f71adb21a06da3ff09b54
4a0bfebd-f27f-4837-876b-cc3d2c7fe081,4804dd2b-e022-4e06-b579-6817b68bc0ae,f389375a-9c42-4eae-9c89-17929d656630,9 tu?i,< 14 tu?i,3,Age,9,14,N? t? 9 - d??i 14 tu?i,2,2,ml,None,0.5,NaN,120,118,FALSE,TRUE,None,12/9/2023,3/6/2025,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,77b7d0aa87e3782e66aa1775a4c9e408,0c87829f0ab3fd377dce81a50befaed1
4a23406d-6af7-444c-ad9e-b568ab3dc974,43d1fe1c-da6f-41cc-8c86-dcea401ff968,f44a0269-f87c-4ea8-ba37-be5e01fc012e,>= 20 tu?i,,3,Age,20,1000,T? tròn 20 tu?i tr? lên - Nhanh,4,NaN,ml,,0.5,14,14,14,FALSE,TRUE,None,4/11/2025,NaT,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,5fb75ff06c66a46de240b0341bcc4591,5fe0ba455c55233fdd0dee585f0318b0
4a8ee250-463d-4978-bd77-ed26e552a7d2,da0559ce-33b7-4c43-b476-fd3109455fd3,5708d1a5-28ee-43a4-9374-23b8f6799c7c,18 tu?i,,3,Age,18,1000,T? 18 tu?i,1,1,ml,None,0.5,0,0,0,FALSE,TRUE,None,8/17/2023,12/9/2023,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,b5a335c9aff45f602e0d6277010d96a9,6ae6e4c7b80a0aa3d3863578b340281a
4abf3abe-1f6b-4266-98e5-762d0d8c734c,4e4a575f-cddb-4bac-ba8d-f350d68519ea,678391be-ff09-4b83-8ead-f1a4e3d1562d,> 10 tu?i,,3,Age,10,1000,Trên 10 tu?i - Thông th??ng,3,NaN,ml,None,1,NaN,150,148,FALSE,FALSE,None,8/17/2023,12/9/2023,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,083a85a6a0a199777845bcb2641e592b,6524d09ae37fb91c98f91b2573a0e0d1
4bb0550a-e438-4345-ace7-0109f2d18c9e,1c8bfa01-5041-42f0-8cec-90995c920196,bb920798-9cfb-415d-93c8-b48ae9d5146f,> 16 tu?i,,3,Age,16,1000,T? 16 tu?i tr? lên - Tiêm nguy c? cao,4,NaN,ml,,1,30,30,28,FALSE,TRUE,None,4/11/2025,NaT,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,fd2d1f1577199c07d2d8a08f185dee08,7459a35df2b6e2d46598b56cfa973e24
